id,loc_name,agg,type,Key Statistics: Total Households,Main source of household drinking water: metered SIWA drinking water,Main source of household drinking water: communal standpipe,Main source of household drinking water: private water tank,Main source of household drinking water: communal water tank,Main source of household drinking water: well - protected,Main source of household drinking water: well - unprotected,Main source of household drinking water: river or stream,Main source of household drinking water: bottled water,Main source of household drinking water: other source of drinking water,Main source of household washing water: piped - private,Main source of household washing water: piped - shared,Main source of household washing water: communal standpipe,Main source of household washing water: well - protected,Main source of household washing water: well - unprotected,Main source of household washing water: private water tank,Main source of household washing water: communal water tank,Main source of household washing water: sea water,"Main source of household washing water: river, lake or stream water",Main source of household washing water: other source of washing water,Main type of household toilet facility: flush toilets - private,Main type of household toilet facility: flush toilets - shared,Main type of household toilet facility: water sealed toilets - private,Main type of household toilet facility: water sealed toilets - shared,Main type of household toilet facility: pit latrines - private,Main type of household toilet facility: pit latrines - shared,Main type of household toilet facility: other toilets,Main type of household toilet facility: no toilets,Main source of household lighting: Main Grid,Main source of household lighting: Own Generator,Main source of household lighting: solar,Main source of household lighting: gas,Main source of household lighting: kerosene lamp,Main source of household lighting: coleman lamp,Main source of household lighting: Wood or Coconut,Main source of household lighting: other lighting,Main source of household lighting: no lighting,Main source of household cooking energy: Electricity from Main Grid,Main source of household cooking energy: Kerosene,Main source of household cooking energy: Wood or Coconut,Main source of household cooking energy: Charcoal,Main source of household cooking energy: Gas,Main source of household cooking energy: other cooking fuels,Households involvement in growing food: subsistence only,Households involvement in growing food: sale only,Households involvement in growing food: subsistence and sale,Households involvement in growing food: not growing food,Households involvement in growing food: No response,Households involvement in fishing: subsistence only,Households involvement in fishing: sale only,Households involvement in fishing: subsistence and sale,Households involvement in fishing: Households not fishing,Household money received from remittances: None,Household money received from remittances: unknown or not applicable,Household money received from remittances: 1 - 499 S.I. dollars,Household money received from remittances: 500 - 999 S.I. dollars,Household money received from remittances: 1000 - 1499 S.I. dollars,Household money received from remittances: more than 1500 S.I. dollars,Main source of household income in last 12 months: No income,Main source of household income in last 12 months: Wages Salary,Main source of household income in last 12 months: Own business,Main source of household income in last 12 months: Sale fish crop craft,Main source of household income in last 12 months: Land lease,Main source of household income in last 12 months: House rent,Main source of household income in last 12 months: Remittances,Main source of household income in last 12 months: Other source
108,Tavula,Ward,Proportion,1,0,0.3971,0.2057,0.0526,0.0072,0,0.3301,0,0.0072,0.012,0.0144,0.5191,0.0144,0.0024,0.0287,0,0,0.4067,0.0024,0.0072,0.0096,0.0383,0,0.012,0.0024,0.1675,0.7632,0,0.0048,0.0742,0,0.89,0,0,0.0311,0,0,0,0.988,0.0024,0.0096,0,0.2895,0,0.6794,0.0239,0.0072,0.3158,0.0048,0.4019,0.2775,0.4928,0.0191,0.3062,0.1005,0.0574,0.0239,0.0311,0.1053,0.055,0.3589,0,0.0048,0.0215,0.4234
109,Polo,Ward,Proportion,1,0,0.3146,0.1722,0.0397,0,0,0.4702,0,0.0033,0.0033,0,0.4106,0,0,0,0.0199,0,0.5662,0,0.0033,0,0.0166,0,0,0,0.2384,0.7417,0.0497,0,0.0265,0,0.9172,0.0033,0,0.0033,0,0.0033,0,0.9834,0,0.0132,0,0.4801,0.0033,0.3543,0.0563,0.106,0.3874,0.0066,0.2815,0.3245,0.8046,0.0033,0.0828,0.0497,0.0397,0.0199,0.0331,0.1954,0.0364,0.5,0,0.0033,0.0232,0.2086
110,Bangara,Ward,Proportion,1,0,0.1693,0.1058,0.0106,0,0,0.709,0.0053,0,0,0.0106,0.2116,0,0,0,0,0,0.7725,0.0053,0,0,0,0.0053,0,0,0.0476,0.9471,0,0,0.0159,0.0053,0.9577,0,0,0.0212,0,0.0106,0,0.9894,0,0,0,0.3386,0.0053,0.545,0.0317,0.0794,0.2646,0.0053,0.418,0.3122,0.836,0.0159,0.0741,0.0635,0.0106,0,0.0159,0.0476,0.0317,0.709,0,0.0053,0.0265,0.164
111,Susuka,Ward,Proportion,1,0,0.2105,0.3026,0.2105,0,0.0033,0.2632,0,0.0099,0.0197,0.1316,0.4539,0.0033,0.0197,0.023,0.0066,0,0.3388,0.0033,0.0362,0.0592,0.0461,0.0263,0.0296,0.0362,0.3882,0.3783,0.1711,0.023,0.1513,0.0066,0.6283,0.0033,0,0.0164,0,0.0066,0.0099,0.8816,0.023,0.0625,0.0164,0.4474,0,0.3717,0.1546,0.0263,0.3816,0.0033,0.3092,0.3059,0.602,0.0164,0.2961,0.0329,0.0329,0.0197,0.0033,0.3125,0.0362,0.2961,0.0164,0.0033,0,0.3322
112,Senga,Ward,Proportion,1,0,0.4029,0.1826,0.1101,0.0029,0,0.2899,0,0.0116,0.0029,0.0029,0.5855,0,0.0464,0.0145,0.0029,0,0.3449,0,0.0116,0,0.0377,0,0,0,0,0.9507,0,0.0029,0.1913,0.0029,0.7971,0,0,0.0058,0,0.0029,0,0.9971,0,0,0,0.2145,0,0.7652,0.0145,0.0058,0.258,0,0.4638,0.2783,0.6986,0.0058,0.1652,0.0841,0.0348,0.0116,0.0029,0.1101,0.0058,0.7304,0,0.0029,0.0406,0.1072
113,Kerepangara,Ward,Proportion,1,0,0.5441,0.1275,0.0343,0,0,0.2941,0,0,0.0049,0.0294,0.5,0.0098,0,0.0294,0.0049,0,0.4216,0,0.0245,0,0.0196,0.0049,0.2108,0.0392,0,0.701,0,0,0.152,0,0.8431,0,0,0,0.0049,0,0.0049,0.9902,0,0.0049,0,0.299,0,0.6422,0.0294,0.0294,0.3725,0,0.2843,0.3431,0.5784,0,0.3284,0.049,0.0343,0.0098,0.1422,0.0686,0.0882,0.5686,0,0.0049,0.0049,0.1225
114,Kirugela,Ward,Proportion,1,0,0.5,0.1984,0,0.0119,0.004,0.2738,0,0.0119,0.0119,0.0079,0.7024,0.004,0.004,0.0119,0,0,0.254,0.004,0.0278,0,0.0079,0.0794,0.004,0,0,0.881,0.0873,0.004,0.1468,0,0.754,0,0,0.0079,0,0,0.004,0.9722,0,0.0159,0.0079,0.5516,0,0.3651,0.0317,0.0516,0.5317,0,0.3413,0.127,0.4563,0,0.377,0.0913,0.0595,0.0159,0.0198,0.2579,0.0397,0.4405,0,0,0.0397,0.2024
201,Outer Shortlands,Ward,Proportion,1,0,0.0356,0.2332,0.6403,0.004,0,0.087,0,0,0.004,0.1344,0.664,0.0988,0,0.0119,0.004,0,0.083,0,0.0277,0,0.004,0,0.0237,0,0.2964,0.6482,0,0.004,0.1186,0,0.8656,0,0.0079,0,0.004,0,0.004,0.996,0,0,0,0.6166,0.0079,0.3241,0.004,0.0474,0.2609,0.004,0.6917,0.0435,0.6245,0.0395,0.1265,0.1028,0.0593,0.0474,0.0158,0.0593,0.0474,0.7747,0,0.0079,0.0198,0.0751
202,Inner Shortlands,Ward,Proportion,1,0.0022,0.0112,0.4018,0.567,0.0067,0,0.0045,0,0.0067,0.0112,0.0536,0.1808,0.4821,0.1674,0.0804,0.0045,0,0.0179,0.0022,0.0603,0.0112,0.0045,0,0.0045,0.0067,0.1562,0.7567,0.0067,0.0268,0.0982,0,0.6763,0.0067,0.1674,0.0112,0.0067,0,0.0022,0.8594,0.1295,0.0089,0,0.5179,0.0089,0.3772,0.058,0.0379,0.2768,0.0067,0.5781,0.1384,0.7411,0.0424,0.1138,0.0424,0.029,0.0313,0.0134,0.1138,0.0424,0.6362,0,0.0022,0.0134,0.1786
203,Simbo,Ward,Proportion,1,0,0.8758,0.0605,0.0605,0,0,0,0,0.0032,0.0064,0.0414,0.914,0.0032,0,0.0064,0,0,0.0255,0.0032,0.0159,0.0191,0.0732,0.0127,0.0159,0.0096,0.0414,0.8121,0,0,0.0127,0.0032,0.9809,0,0.0032,0,0,0,0,1,0,0,0,0.2389,0,0.7452,0.0032,0.0127,0.1943,0,0.6624,0.1433,0.6369,0.0191,0.1656,0.0637,0.0732,0.0414,0,0.0924,0.0223,0.8217,0,0.0032,0.0287,0.0318
204,North Ranongga,Ward,Proportion,1,0,0.8913,0.0217,0.0543,0,0,0.0109,0,0.0217,0.0217,0,0.8043,0,0,0.0217,0.0109,0,0.1413,0,0,0,0.087,0.0109,0.2174,0.4239,0.1196,0.1413,0,0,0.1087,0,0.6087,0,0,0.2826,0,0,0.0326,0.9674,0,0,0,0.2283,0,0.7717,0,0,0.2065,0,0.6304,0.163,0.7717,0.0217,0.0978,0.0543,0.0326,0.0217,0,0.0761,0.0217,0.7065,0,0,0.0217,0.1739
205,Central Ranongga,Ward,Proportion,1,0,0.6045,0.0697,0.0164,0,0,0.2439,0,0.0656,0.0102,0.0082,0.5676,0.0123,0.0082,0.0533,0.0143,0,0.3258,0,0.0041,0,0.1926,0.0123,0.0369,0.0082,0.0266,0.7193,0,0.002,0.1168,0,0.8299,0.0041,0.002,0.043,0.002,0,0.0082,0.9344,0.0533,0.002,0.002,0.2049,0.002,0.7807,0.0061,0.0061,0.3873,0,0.4078,0.2049,0.6291,0.0266,0.1434,0.0943,0.0553,0.0512,0,0.1311,0.0512,0.6926,0,0.002,0.0697,0.0533
206,South Ranongga,Ward,Proportion,1,0,0.4845,0.0248,0.014,0,0.0031,0.4363,0,0.0373,0.0466,0.087,0.3106,0,0,0.0047,0.0016,0,0.5497,0,0.0155,0,0.1071,0.0202,0.0233,0.0016,0.0388,0.7935,0.014,0.0016,0.0202,0.0016,0.9317,0,0,0.028,0.0031,0,0.0186,0.9798,0,0.0016,0,0.1242,0.0016,0.8416,0.0109,0.0217,0.278,0,0.5404,0.1817,0.8043,0.0047,0.0947,0.0404,0.0295,0.0264,0.0078,0.0978,0.0559,0.7935,0.0016,0,0.0217,0.0217
207,Vonunu,Ward,Proportion,1,0,0.3721,0.3163,0.1721,0.0016,0.0031,0.1147,0.0155,0.0047,0.0946,0.0729,0.5395,0.0016,0.0326,0.0357,0.0016,0.0031,0.2186,0,0.0496,0.0093,0.3054,0.0155,0.0109,0,0.0465,0.5628,0.0264,0.0078,0.0372,0,0.9132,0,0,0.0155,0,0.0016,0.0016,0.9659,0,0.031,0,0.338,0.031,0.5891,0.0388,0.0031,0.4589,0.0186,0.4341,0.0884,0.5876,0.0062,0.2062,0.1116,0.0372,0.0512,0.0047,0.2589,0.0155,0.5953,0,0,0.0527,0.0729
208,Bilua,Ward,Proportion,1,0,0.4655,0.2308,0.2149,0,0.0013,0.0756,0,0.0119,0.0637,0.0703,0.5093,0.004,0,0.0159,0.0013,0,0.3355,0,0.0146,0.0027,0.0769,0.0066,0.0133,0.0013,0.2321,0.6525,0.0146,0.004,0.0703,0.0013,0.8992,0.0013,0.0027,0.0066,0,0,0.008,0.9841,0,0.0066,0.0013,0.2533,0.0013,0.7095,0.0279,0.008,0.4191,0.0053,0.3886,0.187,0.4854,0.0186,0.3806,0.0729,0.0279,0.0146,0.0239,0.2334,0.0332,0.6273,0.0013,0,0.057,0.0239
209,Dovele,Ward,Proportion,1,0.0026,0.373,0.254,0.1085,0.0026,0,0.2593,0,0,0.0079,0.2116,0.4021,0,0.0106,0.037,0.0026,0,0.328,0,0.0159,0,0.1349,0.0053,0.0132,0.0026,0.0503,0.7778,0.0476,0.0079,0.0317,0,0.9101,0,0,0.0026,0,0,0.0026,0.9921,0,0.0053,0,0.2222,0,0.7381,0.0317,0.0079,0.3889,0,0.5053,0.1058,0.6323,0.0079,0.2222,0.0582,0.0397,0.0397,0.0238,0.2328,0.0661,0.5767,0,0.0026,0.0344,0.0635
210,Iringgila,Ward,Proportion,1,0,0.2894,0.1617,0.4192,0,0,0.1257,0,0.004,0.0539,0.1018,0.3253,0.002,0,0.016,0.002,0,0.495,0.004,0.0459,0,0.018,0,0.008,0,0.014,0.9142,0.0419,0.006,0.0379,0.002,0.9082,0.002,0,0.002,0,0,0.002,0.976,0,0.022,0,0.3393,0.002,0.6407,0.016,0.002,0.4331,0,0.481,0.0858,0.7365,0.006,0.1437,0.0778,0.02,0.016,0,0.1577,0.0259,0.6208,0,0,0.022,0.1737
211,Gizo,Ward,Proportion,1,0,0.0599,0.5588,0.2644,0.012,0,0.0682,0.009,0.0277,0.0951,0.0839,0.1955,0.0989,0.003,0.2974,0.0157,0,0.1993,0.0112,0.3386,0.0397,0.185,0.0427,0.1094,0.0367,0.197,0.0509,0.3558,0.0285,0.0345,0,0.5423,0.0067,0.0007,0.0307,0.0007,0.018,0.0622,0.7663,0.0015,0.1483,0.0037,0.4637,0.003,0.1678,0.3251,0.0404,0.4142,0.0157,0.167,0.403,0.7745,0.0112,0.0816,0.0539,0.0345,0.0442,0.006,0.5985,0.0787,0.2187,0,0.0097,0.0165,0.0719
212,South Kolombangara,Ward,Proportion,1,0.0014,0.3906,0.1911,0.036,0,0,0.3241,0.0028,0.054,0.2715,0.144,0.1801,0.0042,0,0.0235,0,0,0.374,0.0028,0.3144,0.0042,0.0346,0.0055,0.0194,0.0083,0.1579,0.4557,0.3047,0.0055,0.0111,0,0.6731,0,0.0014,0.0028,0.0014,0.0166,0,0.946,0,0.0374,0,0.5,0.0055,0.4446,0.0263,0.0235,0.4834,0.0014,0.3864,0.1288,0.7784,0.0083,0.133,0.036,0.0249,0.0194,0.0069,0.3961,0.036,0.4363,0,0.0014,0.0125,0.1108
213,Vonavona,Ward,Proportion,1,0,0.0081,0.6384,0.3051,0.001,0,0.002,0.0232,0.0222,0.004,0.0131,0.0455,0.4747,0.0667,0.201,0.0081,0,0.1677,0.0192,0.0333,0.0071,0.1061,0.0101,0.0202,0.003,0.7828,0.0374,0.003,0.0182,0.0323,0,0.9374,0,0.001,0.0081,0,0,0.001,0.9909,0.001,0.0061,0.001,0.3061,0.004,0.6192,0.0444,0.0263,0.3929,0.0081,0.5596,0.0394,0.5354,0.0202,0.2485,0.1061,0.0606,0.0293,0.002,0.1747,0.0444,0.5747,0,0.004,0.0141,0.1859
214,Kusaghe,Ward,Proportion,1,0,0.5994,0.0301,0.0482,0,0,0.3223,0,0,0,0.009,0.5994,0,0.003,0,0.009,0,0.3765,0.003,0,0,0.012,0.006,0.003,0,0.9789,0,0.0271,0.012,0.003,0,0.9578,0,0,0,0,0,0,1,0,0,0,0.0904,0,0.8675,0.0211,0.0211,0.1687,0.003,0.747,0.0813,0.9307,0.012,0.0482,0.006,0.003,0,0,0.1295,0.003,0.7922,0,0,0,0.0753
215,Munda,Ward,Proportion,1,0.0127,0.0106,0.6815,0.242,0,0.0021,0,0.0021,0.0488,0.1062,0.1996,0.1146,0.1253,0.1019,0.259,0.0127,0.0021,0.051,0.0276,0.1699,0.0149,0.2611,0.0913,0.0127,0.0042,0.1486,0.2972,0.2887,0.017,0.0212,0,0.6645,0,0,0.0085,0,0.0021,0.0042,0.9639,0,0.0276,0.0021,0.3949,0,0.4437,0.1529,0.0085,0.4586,0.0042,0.3694,0.1677,0.6051,0.017,0.1783,0.0955,0.0573,0.0467,0.0042,0.4798,0.0552,0.3355,0,0.0127,0.0658,0.0467
216,Nusa Roviana,Ward,Proportion,1,0,0.0079,0.7731,0.1873,0,0,0,0.0079,0.0237,0.1161,0.0237,0.2744,0.1029,0.0264,0.3984,0.029,0,0.0026,0.0264,0.2296,0.0079,0.3984,0.1029,0.0369,0,0.1055,0.1187,0.2216,0.0053,0.0475,0.0026,0.7177,0.0026,0,0.0026,0,0,0.0132,0.8602,0.0343,0.0923,0,0.3931,0.0053,0.4248,0.1557,0.0211,0.3694,0.0053,0.4169,0.2084,0.4406,0.0158,0.1689,0.1451,0.0818,0.1478,0,0.3641,0.1108,0.3245,0.0026,0.029,0.0765,0.0923
217,Roviana Lagoon,Ward,Proportion,1,0,0.1308,0.5535,0.2048,0,0.0013,0.041,0.0264,0.0423,0.0343,0.1044,0.1955,0.1189,0.0343,0.1731,0.0251,0,0.2523,0.0621,0.0476,0.0066,0.218,0.0092,0.0528,0.004,0.321,0.3408,0.1889,0.0092,0.0159,0,0.7398,0,0,0.0462,0,0.0106,0,0.9723,0,0.0159,0.0013,0.288,0.004,0.6262,0.0449,0.037,0.3355,0.0066,0.5641,0.0938,0.6539,0.0304,0.1532,0.0727,0.0555,0.0343,0.0106,0.2695,0.0436,0.5535,0,0.0053,0.0621,0.0555
218,South Rendova,Ward,Proportion,1,0,0.4257,0.204,0.031,0.031,0,0.2882,0,0.02,0.0089,0.0067,0.4279,0,0,0.0266,0.0022,0,0.5255,0.0022,0.0111,0.0067,0.02,0.0044,0.1463,0.0022,0.7716,0.0377,0.0155,0.0067,0.0976,0,0.8647,0,0,0.0155,0,0,0,0.9845,0,0.0133,0.0022,0.2062,0.0022,0.7561,0.0155,0.02,0.2594,0.0022,0.4678,0.2705,0.7251,0.0111,0.1729,0.0421,0.0244,0.0244,0.0044,0.1308,0.0266,0.6984,0,0,0.0089,0.1308
219,North Rendova,Ward,Proportion,1,0,0.2275,0.2725,0.0898,0,0,0.3772,0,0.0329,0,0,0.2784,0,0.003,0.0689,0.009,0,0.6377,0.003,0.003,0,0.0269,0.0269,0.0449,0.012,0.8862,0,0,0.018,0.0419,0.003,0.9251,0,0.006,0.006,0,0,0,1,0,0,0,0.1826,0.009,0.7665,0.021,0.021,0.1707,0.003,0.6856,0.1407,0.7186,0.006,0.1796,0.0659,0.024,0.006,0.0269,0.0479,0.009,0.6587,0,0.003,0.012,0.2425
220,Kolombaghea,Ward,Proportion,1,0,0.5217,0.2174,0.0621,0,0,0.1429,0,0.0559,0.1273,0.0311,0.4845,0,0,0.0373,0,0.0031,0.3168,0,0.2019,0.0093,0.1211,0.0093,0,0,0.2112,0.4472,0.0062,0.0031,0.028,0,0.9534,0.0031,0,0,0.0062,0,0,0.9969,0,0.0031,0,0.1957,0.0062,0.7484,0.028,0.0217,0.3043,0,0.6366,0.059,0.854,0.0031,0.1211,0.0124,0.0062,0.0031,0.0776,0.0901,0.0248,0.7764,0,0,0.028,0.0031
221,Buini Tusu,Ward,Proportion,1,0.0021,0.4053,0.3251,0.0802,0,0.0103,0.1626,0,0.0144,0.0123,0.0329,0.5082,0.0041,0.0123,0.1481,0.0041,0.0123,0.2593,0.0062,0.0412,0.0082,0.0494,0.0247,0.0082,0,0.0926,0.7757,0.0226,0.0144,0.0412,0,0.9115,0,0,0.0021,0.0082,0.0103,0,0.9609,0.0123,0.0082,0.0082,0.2819,0.0041,0.5967,0.0638,0.0535,0.3148,0.0021,0.5556,0.1276,0.679,0.0473,0.1193,0.0741,0.0453,0.035,0.0123,0.2078,0.0514,0.6193,0,0,0.0412,0.0679
222,Nono,Ward,Proportion,1,0,0.2229,0.4061,0.1178,0.0032,0.008,0.1513,0.0096,0.0812,0.0525,0.0589,0.4841,0.0032,0,0.1162,0,0.0016,0.25,0.0334,0.0382,0.0159,0.2532,0.0175,0.0048,0.0016,0.0287,0.6401,0.0605,0.0064,0.1051,0.0016,0.7707,0,0.0016,0.0494,0.0048,0,0.0143,0.9697,0.0016,0.0143,0,0.4076,0.0032,0.5318,0.0287,0.0287,0.3615,0,0.4522,0.1863,0.7166,0.0191,0.1433,0.0382,0.035,0.0478,0.0525,0.242,0.0398,0.5924,0,0,0.008,0.0653
223,Nggatokae,Ward,Proportion,1,0,0.5411,0.2158,0.0068,0.0051,0,0.2089,0.0103,0.012,0.0257,0.0103,0.5428,0.0205,0,0.1575,0.0103,0,0.2277,0.0051,0.0599,0.0086,0.0411,0,0.0205,0.0034,0.0017,0.8647,0.0068,0.012,0.9127,0.0051,0.0599,0,0,0.0017,0.0017,0,0.0034,0.9863,0,0.0103,0,0.2517,0.0137,0.6644,0.024,0.0462,0.2414,0.0034,0.6661,0.089,0.7277,0.024,0.1113,0.0514,0.0531,0.0325,0.0325,0.1147,0.0668,0.7414,0.0017,0,0.0223,0.0205
224,North Vangunu,Ward,Proportion,1,0.0022,0.7505,0.1584,0.0239,0.0043,0,0.0456,0,0.0152,0.0022,0.0065,0.8612,0.0043,0,0.0412,0.0022,0,0.0781,0.0043,0.0672,0,0.0521,0,0.0217,0.0022,0.0824,0.7744,0.0694,0.0108,0.0868,0,0.8113,0,0.0022,0.0152,0.0043,0.0022,0,0.9826,0.0022,0.0108,0.0022,0.423,0.013,0.4555,0.0542,0.0542,0.4013,0.0022,0.4751,0.1215,0.6291,0.0499,0.1627,0.0672,0.0347,0.0564,0.0174,0.2017,0.0586,0.6182,0,0,0.0477,0.0564
225,Noro,Ward,Proportion,1,0.0441,0.0204,0.4941,0.3565,0,0,0,0,0.0849,0.4635,0.3379,0.0798,0.0611,0.0085,0.017,0.0034,0,0.0085,0.0204,0.4584,0.1443,0.0662,0.0306,0.0102,0.0017,0.1935,0.0951,0.5484,0.0034,0.0221,0,0.4024,0.0017,0,0.0187,0.0034,0.0119,0.0136,0.8557,0,0.1104,0.0085,0.6927,0.0017,0.1036,0.1783,0.0238,0.5144,0.0017,0.0306,0.4533,0.8132,0.0289,0.0968,0.034,0.0153,0.0119,0.0085,0.8761,0.034,0.0221,0.0068,0.0034,0,0.0492
226,North Kolombangara,Ward,Proportion,1,0,0.4282,0.0396,0.0149,0.005,0,0.4109,0,0.1015,0.1015,0.1213,0.3812,0.005,0,0.0124,0.0025,0.0025,0.3738,0,0.1089,0.005,0.0545,0,0.0396,0,0.75,0.0421,0.245,0,0.0421,0,0.7129,0,0,0,0,0.0025,0.0025,0.9678,0.0025,0.0248,0,0.3441,0.0025,0.6361,0.0074,0.0099,0.5,0,0.4233,0.0767,0.7797,0.0025,0.1015,0.0594,0.0347,0.0223,0.0124,0.2252,0.0198,0.3738,0,0,0.0248,0.3441
301,Kia,Ward,Proportion,1,0,0.0801,0.1625,0.6545,0.0046,0,0.0915,0.0046,0.0023,0.0297,0.3021,0.3318,0.0114,0,0.0206,0.0229,0.0023,0.2792,0,0.0069,0.0046,0.0297,0.1648,0.0023,0.0023,0.7689,0.0206,0.2723,0.0595,0.1716,0,0.4966,0,0,0,0,0.0046,0.0297,0.7712,0.1579,0.0366,0,0.4005,0,0.4256,0.1007,0.0732,0.4531,0,0.4165,0.1304,0.6545,0.0023,0.2197,0.0641,0.0389,0.0206,0.0275,0.3867,0.1785,0.2128,0.0092,0.0023,0.0046,0.1785
302,Havulei,Ward,Proportion,1,0,0.4549,0.418,0.1148,0,0,0,0.0041,0.0082,0.0082,0.332,0.5861,0.0123,0,0.0246,0,0,0.0328,0.0041,0.0082,0.0041,0.0123,0.0205,0.0082,0,0.9426,0.0041,0.0246,0.0369,0.0574,0,0.8648,0,0,0.0164,0,0,0,0.9139,0.0328,0.0492,0.0041,0.2008,0,0.6967,0.0738,0.0287,0.2336,0.0041,0.6557,0.1066,0.7377,0.0205,0.1434,0.0451,0.0287,0.0246,0.0041,0.1557,0.0328,0.6189,0,0,0.0082,0.1803
303,Kokota,Ward,Proportion,1,0,0.6265,0.1406,0.0843,0,0,0.1446,0,0.004,0.0602,0.5944,0.1325,0,0,0.004,0,0,0.2088,0,0.008,0.008,0.0241,0,0.0201,0.008,0.9076,0.0241,0.1044,0.008,0.0482,0,0.8353,0,0.004,0,0,0,0,0.9799,0.004,0.0161,0,0.1807,0.012,0.6827,0.0924,0.0321,0.1687,0.008,0.7751,0.0482,0.8394,0.0522,0.1044,0.004,0,0,0.0201,0.2691,0.0402,0.6104,0,0.004,0,0.0562
304,Hovukoilo,Ward,Proportion,1,0,0.7449,0.0281,0.0612,0,0,0.1531,0.0026,0.0102,0.0969,0.2041,0.3699,0,0,0.0077,0.0051,0,0.3112,0.0051,0.0077,0,0.1327,0.0434,0.2679,0.0893,0.4362,0.023,0.0026,0.0153,0.3189,0.0102,0.6352,0,0,0.0179,0,0,0,0.977,0.0128,0.0102,0,0.2781,0.0077,0.6582,0.0128,0.0434,0.3546,0,0.3699,0.2755,0.8189,0.0077,0.0969,0.0357,0.0306,0.0102,0.0077,0.176,0.0281,0.6556,0,0.0102,0.0204,0.102
305,Buala,Ward,Proportion,1,0.0039,0.7436,0.0665,0.0939,0,0,0.0039,0,0.0881,0.3914,0.2133,0.3307,0,0,0.0196,0,0,0.0391,0.0059,0.1781,0.0098,0.1115,0.0352,0.092,0.0352,0.5342,0.0039,0.2329,0,0.0568,0,0.6967,0.0078,0,0.0059,0,0.0039,0.0117,0.8865,0.047,0.0509,0,0.4031,0.0039,0.5303,0.0509,0.0117,0.3327,0.0059,0.4658,0.1957,0.681,0.0254,0.2427,0.0196,0.0196,0.0117,0.0039,0.3464,0.0959,0.4481,0,0.0117,0.0078,0.0861
306,Tirotonga,Ward,Proportion,1,0,0.7826,0.0186,0.0248,0,0,0.1677,0,0.0062,0.1056,0.1677,0.5404,0,0,0,0,0,0.1863,0,0,0,0.0373,0,0.6522,0.0745,0.236,0,0,0,0.1677,0.0062,0.7267,0.0497,0.0062,0.0435,0,0,0.0124,0.9876,0,0,0,0.1925,0,0.7516,0.0373,0.0186,0.1863,0,0.2671,0.5466,0.7081,0.0062,0.2484,0.0311,0.0062,0,0.0373,0.0994,0.0124,0.5714,0,0,0.0062,0.2733
307,Koviloko,Ward,Proportion,1,0,0.8498,0.0079,0.0791,0,0,0.0277,0,0.0356,0.0237,0.1423,0.7154,0,0,0,0,0,0.083,0.0356,0.0119,0,0.1462,0.004,0.1542,0.083,0.6008,0,0,0.004,0.0751,0,0.9051,0.004,0,0.0119,0,0,0.004,0.9921,0.004,0,0,0.2134,0,0.6838,0.0395,0.0632,0.1818,0,0.2174,0.6008,0.5099,0.0158,0.415,0.0435,0.0158,0,0.0237,0.0632,0.0474,0.5494,0,0,0.0119,0.3043
308,Kmaga,Ward,Proportion,1,0,0.7949,0.0114,0.0484,0,0,0.1425,0,0.0028,0.0142,0.1339,0.6866,0,0,0.0028,0.0028,0,0.1538,0.0057,0.0142,0,0.1766,0.0199,0.3533,0.0855,0.3504,0,0,0.0028,0.2735,0.0028,0.7066,0,0,0.0085,0.0057,0,0.0028,0.9886,0.0028,0.0057,0,0.1823,0.0057,0.7721,0.0199,0.0199,0.2507,0,0.4587,0.2906,0.8348,0.0114,0.1111,0.0256,0.0171,0,0.0199,0.1026,0.1254,0.6097,0,0,0.037,0.1054
309,Kaloka,Ward,Proportion,1,0,0.7868,0.0102,0.0812,0.0457,0.0102,0.0406,0.0152,0.0102,0.0457,0.0558,0.7716,0.0406,0.0102,0.0051,0,0,0.0558,0.0152,0.0051,0,0.1624,0.4365,0.0355,0.0102,0.2589,0.0914,0,0,0.0761,0.0102,0.8985,0,0,0.0152,0,0,0,0.9949,0,0,0.0051,0.1574,0,0.7817,0.0203,0.0406,0.1827,0,0.6853,0.132,0.7208,0.0051,0.1371,0.0964,0.0406,0,0.0051,0.066,0.0761,0.6091,0,0,0.0711,0.1726
310,Tatamba,Ward,Proportion,1,0,0.6135,0.1206,0.0142,0.0142,0,0.2305,0.0035,0.0035,0.0284,0.0142,0.5993,0,0,0.0319,0.0071,0,0.3121,0.0071,0.0106,0.0071,0.1277,0.0319,0.195,0.0106,0.6099,0.0071,0,0.0035,0.3688,0,0.6099,0.0071,0,0.0106,0,0,0,0.9787,0.0142,0.0071,0,0.1738,0.0035,0.7589,0.0213,0.0426,0.1879,0,0.6773,0.1348,0.5816,0.0816,0.1844,0.1312,0.0106,0.0106,0.0213,0.1135,0.078,0.6099,0,0,0.1206,0.0567
311,Sigana,Ward,Proportion,1,0.0479,0.6598,0.0251,0.0228,0.0228,0.0114,0.1918,0.0023,0.016,0.0685,0.1507,0.5183,0.0114,0.0342,0.0046,0,0,0.21,0.0023,0.016,0,0.0297,0.0023,0.0297,0.0046,0.9178,0,0.0114,0.0023,0.105,0.0046,0.8699,0.0023,0,0.0046,0,0,0,0.9817,0.0046,0.0137,0,0.1507,0.0023,0.7671,0.0251,0.0548,0.1507,0,0.726,0.1233,0.6918,0.016,0.1735,0.0662,0.0434,0.0091,0.0251,0.0822,0.0137,0.6667,0,0.0046,0.1347,0.0731
